round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,45377706920.0,79715.0,172036361400.0,1594300.0
2.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30418023320.0,79715.0,169792408860.0,1594300.0
3.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40141817660.0,79715.0,182009483800.0,1594300.0
4.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,45627034980.0,79715.0,220655333100.0,1594300.0
5.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32163319740.0,79715.0,219159364740.0,1594300.0
6.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,33160631980.0,79715.0,250824028360.0,1594300.0
7.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,24683477940.0,79715.0,198215807700.0,1594300.0
8.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29171383020.0,79715.0,186746716940.0,1594300.0
9.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30667351380.0,79715.0,160567270640.0,1594300.0
10.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,27426086600.0,79715.0,166301816020.0,1594300.0
11.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31415335560.0,79715.0,248330747760.0,1594300.0
12.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,27426086600.0,79715.0,185500076640.0,1594300.0
13.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31415335560.0,79715.0,215918099960.0,1594300.0
14.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,45627034980.0,79715.0,284732644520.0,1594300.0
15.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30916679440.0,79715.0,209934226520.0,1594300.0
16.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,38645849300.0,79715.0,153087428840.0,1594300.0
17.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,28423398840.0,79715.0,168047112440.0,1594300.0
