round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,28672726900.0,79715.0,152090116600.0,1594300.0
2.0,0.19,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30916679440.0,79715.0,209934226520.0,1594300.0
3.0,0.24,1000000000.0,1000000000.0,0.15,0.17,0.1,1000000000.0,0.15,1000000000.0,21.0,21.0,30891746634.0,79715.0,186921246582.0,1674015.0
4.0,0.3,8.33,4.78,0.15,0.17,0.1,4.78,0.15,5.26,22.0,22.0,32088521322.0,79715.0,190062780138.0,1753730.0
5.0,0.38,0.1,0.17,0.15,0.17,0.1,0.17,0.15,0.08,21.0,23.0,35267454087.0,79715.0,239703996884.0,1674015.0
6.0,0.45,0.1,0.17,0.21,6.14,0.1,2.41,0.15,6.14,20.0,24.0,38595983688.0,79715.0,295304154264.0,1594300.0
7.0,0.47,0.1,0.17,14.4,0.15,0.1,0.01,0.15,0.15,19.0,23.0,26378908748.0,79715.0,151965452570.0,1514585.0
8.0,0.51,0.78,1.35,5.69,53.17,20.69,0.07,5.69,1.17,18.0,22.0,34008347384.0,79715.0,232024692636.0,1434870.0
9.0,0.54,0.78,1.35,0.77,0.85,0.77,0.07,0.77,1.17,19.0,23.0,35554181356.0,79715.0,199848906493.0,1514585.0
10.0,0.55,1.35,0.79,6.18,6.8,6.19,0.79,6.18,0.79,18.0,22.0,32362782188.0,79715.0,179092345498.0,1434870.0
11.0,0.58,1.35,0.79,0.99,0.97,0.87,0.79,0.99,0.79,17.0,23.0,37561272239.0,79715.0,160280543371.0,1355155.0
12.0,0.59,1.35,0.79,1.92,1.66,0.87,1.45,0.99,1.66,16.0,24.0,38296790016.0,79715.0,298296090984.0,1275440.0
13.0,0.61,1.35,0.79,1.92,1.66,0.87,1.45,0.99,1.66,16.0,24.0,36501627984.0,79715.0,181012171560.0,1275440.0
14.0,0.62,10.81,6.28,1.07,0.48,6.96,0.61,7.94,0.48,17.0,23.0,18923999754.0,79715.0,114690907600.0,1355155.0
15.0,0.63,10.81,6.28,1.07,0.48,6.96,0.61,7.94,0.48,17.0,23.0,35267454087.0,79715.0,196694906534.0,1355155.0
16.0,0.65,1.52,2.95,1.07,0.48,1.52,0.61,0.8,0.48,18.0,24.0,37100015328.0,79715.0,272266241520.0,1434870.0
17.0,0.65,1.38,1.19,1.07,0.48,1.52,1.19,0.8,1.11,19.0,25.0,36775888850.0,79715.0,250886360375.0,1514585.0
18.0,0.64,1.38,1.19,1.07,0.48,1.52,1.19,0.8,1.11,19.0,25.0,73551777700.0,79715.0,288597229450.0,1514585.0
19.0,0.67,1.38,1.19,1.07,0.48,1.52,1.19,0.8,1.11,19.0,25.0,38645849300.0,79715.0,213798811450.0,1514585.0
20.0,0.64,3.13,1.28,8.56,3.85,12.19,1.28,6.38,1.5,18.0,24.0,94545200352.0,79715.0,229182352752.0,1434870.0
21.0,0.68,3.13,1.28,8.56,3.85,12.19,1.28,6.38,1.5,18.0,24.0,66420995184.0,79715.0,239354937600.0,1434870.0
22.0,0.69,3.13,1.28,0.48,0.44,0.19,1.28,0.48,1.5,19.0,25.0,28984386975.0,79715.0,145233594950.0,1514585.0
23.0,0.69,5.38,0.51,0.48,0.44,0.19,0.51,0.48,0.34,18.0,24.0,48170181192.0,79715.0,219608155248.0,1434870.0
24.0,0.7,5.38,0.51,0.48,0.44,0.19,0.51,0.48,0.34,18.0,24.0,37399209000.0,79715.0,259101719952.0,1434870.0
25.0,0.71,5.38,0.51,0.48,0.44,0.19,0.51,0.48,0.34,18.0,24.0,43083888768.0,79715.0,310263837864.0,1434870.0
26.0,0.71,43.03,4.08,2.15,3.52,0.65,4.08,2.15,2.69,17.0,25.0,39269169450.0,79715.0,214733791675.0,1355155.0
27.0,0.72,43.03,4.08,2.15,3.52,0.65,4.08,2.15,2.69,17.0,25.0,39892489600.0,79715.0,243406518575.0,1355155.0
28.0,0.73,43.03,4.08,2.15,3.52,0.65,4.08,2.15,2.69,17.0,25.0,34905928400.0,79715.0,212240511075.0,1355155.0
29.0,0.74,43.03,4.08,0.15,0.01,0.65,0.13,2.15,0.01,18.0,24.0,36501627984.0,79715.0,208537989384.0,1434870.0
30.0,0.74,43.03,4.08,0.15,0.01,0.65,0.13,2.15,0.01,18.0,24.0,37997596344.0,79715.0,229182352752.0,1434870.0
31.0,0.74,43.03,4.08,0.15,0.01,0.65,0.13,2.15,0.01,18.0,24.0,37997596344.0,79715.0,304579158096.0,1434870.0
32.0,0.75,7.0,9.5,0.15,0.01,7.0,0.13,5.75,0.01,19.0,23.0,46163090309.0,79715.0,237410178732.0,1514585.0
33.0,0.75,7.0,9.5,0.15,0.01,7.0,0.13,5.75,0.01,19.0,23.0,29246181438.0,79715.0,213325088136.0,1514585.0
34.0,0.76,7.0,9.5,0.15,0.01,7.0,0.13,5.75,0.01,19.0,23.0,36701090432.0,79715.0,203576360990.0,1514585.0
35.0,0.74,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,56223477530.0,79715.0,310737561178.0,1594300.0
36.0,0.75,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,42510434230.0,79715.0,248754605462.0,1594300.0
37.0,0.75,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,32088521322.0,79715.0,175526954240.0,1594300.0
38.0,0.77,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,34282608250.0,79715.0,191159823602.0,1594300.0
39.0,0.76,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,46350086354.0,79715.0,226813736182.0,1594300.0
40.0,0.76,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,34282608250.0,79715.0,219134431934.0,1594300.0
41.0,0.77,1.25,1.2,0.15,0.01,1.25,0.13,1.19,0.01,20.0,22.0,33734086518.0,79715.0,228185040512.0,1594300.0
42.0,0.77,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,32724307875.0,79715.0,256034984814.0,1674015.0
43.0,0.78,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,32724307875.0,79715.0,227237593884.0,1674015.0
44.0,0.77,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,31677130023.0,79715.0,233782455459.0,1674015.0
45.0,0.77,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,31677130023.0,79715.0,257343957129.0,1674015.0
46.0,0.78,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,31938924486.0,79715.0,257082162666.0,1674015.0
47.0,0.78,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,31677130023.0,79715.0,218598376605.0,1674015.0
48.0,0.78,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,32986102338.0,79715.0,192418930305.0,1674015.0
49.0,0.78,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,32724307875.0,79715.0,221216321235.0,1674015.0
50.0,0.77,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,44243264247.0,79715.0,354993291828.0,1674015.0
51.0,0.79,3.76,3.46,1.2,0.06,3.76,1.02,2.77,0.06,21.0,21.0,31153541097.0,79715.0,190848163527.0,1674015.0
52.0,0.79,0.3,0.65,1.2,0.06,0.3,1.02,0.75,0.06,20.0,22.0,33734086518.0,79715.0,239429736018.0,1594300.0
53.0,0.78,0.3,0.65,1.2,0.06,0.3,1.02,0.75,0.06,20.0,22.0,35105390848.0,79715.0,237509909956.0,1594300.0
54.0,0.79,0.3,0.65,1.2,0.06,0.3,1.02,0.75,0.06,20.0,22.0,35105390848.0,79715.0,258627996638.0,1594300.0
55.0,0.8,0.3,0.65,1.2,0.06,0.3,1.02,0.75,0.06,20.0,22.0,32637043054.0,79715.0,180737910694.0,1594300.0
56.0,0.79,0.3,0.65,1.68,1.69,0.3,1.8,0.75,1.69,19.0,23.0,33547090473.0,79715.0,225367633434.0,1514585.0
57.0,0.8,0.3,0.65,1.68,1.69,0.3,1.8,0.75,1.69,19.0,23.0,36987817701.0,79715.0,220493269861.0,1514585.0
58.0,0.8,0.3,0.65,1.68,1.69,0.3,1.8,0.75,1.69,19.0,23.0,28385999631.0,79715.0,172609815938.0,1514585.0
59.0,0.81,0.3,0.65,1.68,1.69,0.3,1.8,0.75,1.69,19.0,23.0,34980726818.0,79715.0,220779997130.0,1514585.0
60.0,0.8,0.3,0.65,0.05,0.03,0.3,0.01,0.75,0.03,18.0,22.0,34282608250.0,79715.0,239978257750.0,1434870.0
61.0,0.8,0.3,0.65,0.05,0.03,0.3,0.01,0.75,0.03,18.0,22.0,31814260456.0,79715.0,143712693784.0,1434870.0
62.0,0.8,0.3,0.65,0.05,0.03,0.3,0.01,0.75,0.03,18.0,22.0,32362782188.0,79715.0,179092345498.0,1434870.0
